"","Measure","Attribute","Value","Category","Date"
"96","In-Transit Time (hours)","Low","7.45","Arrivals",2019-02-01
"97","Arrivals","Daily Average","34.86","Arrivals",2017-02-01
"98","Oceangoing Transits","Daily Average","35.11","Arrivals",2017-02-01
"99","Canal Waters Time (hours)","Daily Average","27.86","Arrivals",2017-02-01
"100","In-Transit Time (hours)","Daily Average","11.46","Arrivals",2017-02-01
"101","Arrivals","High","46","Arrivals",2017-02-01
"102","Oceangoing Transits","High","40","Arrivals",2017-02-01
"103","Canal Waters Time (hours)","High","35.41","Arrivals",2017-02-01
"104","In-Transit Time (hours)","High","12.82","Arrivals",2017-02-01
"105","Arrivals","Low","24","Arrivals",2017-02-01
"106","Oceangoing Transits","Low","32","Arrivals",2017-02-01
"107","Canal Waters Time (hours)","Low","20.75","Arrivals",2017-02-01
"108","In-Transit Time (hours)","Low","9.90","Arrivals",2017-02-01
"109","Arrivals","Daily Average","34.52","Arrivals",2018-03-01
"110","Oceangoing Transits","Daily Average","35.10","Arrivals",2018-03-01
"111","Canal Waters Time (hours)","Daily Average","27.66","Arrivals",2018-03-01
"112","In-Transit Time (hours)","Daily Average","10.91","Arrivals",2018-03-01
"113","Arrivals","High","45","Arrivals",2018-03-01
"114","Oceangoing Transits","High","39","Arrivals",2018-03-01
"115","Canal Waters Time (hours)","High","47.73","Arrivals",2018-03-01
"116","In-Transit Time (hours)","High","13.20","Arrivals",2018-03-01
"117","Arrivals","Low","22","Arrivals",2018-03-01
"118","Oceangoing Transits","Low","30","Arrivals",2018-03-01
"119","Canal Waters Time (hours)","Low","19.03","Arrivals",2018-03-01
"120","In-Transit Time (hours)","Low","9.31","Arrivals",2018-03-01
"121","Arrivals","Daily Average","34.26","Arrivals",2019-03-01
"122","Oceangoing Transits","Daily Average","34.42","Arrivals",2019-03-01
"123","Canal Waters Time (hours)","Daily Average","22.27","Arrivals",2019-03-01
"124","In-Transit Time (hours)","Daily Average","9.89","Arrivals",2019-03-01
"125","Arrivals","High","49","Arrivals",2019-03-01
"126","Oceangoing Transits","High","40","Arrivals",2019-03-01
"127","Canal Waters Time (hours)","High","29.22","Arrivals",2019-03-01
"128","In-Transit Time (hours)","High","12.37","Arrivals",2019-03-01
"129","Arrivals","Low","22","Arrivals",2019-03-01
"130","Oceangoing Transits","Low","28","Arrivals",2019-03-01
"131","Canal Waters Time (hours)","Low","17.42","Arrivals",2019-03-01
"132","In-Transit Time (hours)","Low","8.43","Arrivals",2019-03-01
"133","Arrivals","Daily Average","33.50","Arrivals",2018-04-01
"134","Oceangoing Transits","Daily Average","33.80","Arrivals",2018-04-01
"135","Canal Waters Time (hours)","Daily Average","28.61","Arrivals",2018-04-01
"136","In-Transit Time (hours)","Daily Average","11.64","Arrivals",2018-04-01
"137","Arrivals","High","43","Arrivals",2018-04-01
"138","Oceangoing Transits","High","39","Arrivals",2018-04-01
"139","Canal Waters Time (hours)","High","44.38","Arrivals",2018-04-01
"140","In-Transit Time (hours)","High","15.60","Arrivals",2018-04-01
"141","Arrivals","Low","24","Arrivals",2018-04-01
"142","Oceangoing Transits","Low","28","Arrivals",2018-04-01
"143","Canal Waters Time (hours)","Low","19.03","Arrivals",2018-04-01
"144","In-Transit Time (hours)","Low","9.33","Arrivals",2018-04-01
"145","Arrivals","Daily Average","33.87","Arrivals",2017-03-01
"146","Oceangoing Transits","Daily Average","34.55","Arrivals",2017-03-01
"147","Canal Waters Time (hours)","Daily Average","27.46","Arrivals",2017-03-01
"148","In-Transit Time (hours)","Daily Average","11.69","Arrivals",2017-03-01
"149","Arrivals","High","45","Arrivals",2017-03-01
"150","Oceangoing Transits","High","40","Arrivals",2017-03-01
"151","Canal Waters Time (hours)","High","46.75","Arrivals",2017-03-01
"152","In-Transit Time (hours)","High","14.17","Arrivals",2017-03-01
"153","Arrivals","Low","15","Arrivals",2017-03-01
"154","Oceangoing Transits","Low","26","Arrivals",2017-03-01
"155","Canal Waters Time (hours)","Low","17.95","Arrivals",2017-03-01
"156","In-Transit Time (hours)","Low","9.34","Arrivals",2017-03-01
"157","Arrivals","Daily Average","33.77","Arrivals",2019-04-01
"158","Oceangoing Transits","Daily Average","33.53","Arrivals",2019-04-01
"159","Canal Waters Time (hours)","Daily Average","23.19","Arrivals",2019-04-01
"160","In-Transit Time (hours)","Daily Average","9.97","Arrivals",2019-04-01
"161","Arrivals","High","48","Arrivals",2019-04-01
"162","Oceangoing Transits","High","38","Arrivals",2019-04-01
"163","Canal Waters Time (hours)","High","33.53","Arrivals",2019-04-01
"164","In-Transit Time (hours)","High","12.27","Arrivals",2019-04-01
"165","Arrivals","Low","24","Arrivals",2019-04-01
"166","Oceangoing Transits","Low","27","Arrivals",2019-04-01
"167","Canal Waters Time (hours)","Low","15.55","Arrivals",2019-04-01
"168","In-Transit Time (hours)","Low","7.55","Arrivals",2019-04-01
"169","Arrivals","Daily Average","33.83","Arrivals",2017-04-01
"170","Oceangoing Transits","Daily Average","33.87","Arrivals",2017-04-01
"171","Canal Waters Time (hours)","Daily Average","26.35","Arrivals",2017-04-01
"172","In-Transit Time (hours)","Daily Average","11.56","Arrivals",2017-04-01
"173","Arrivals","High","46","Arrivals",2017-04-01
"174","Oceangoing Transits","High","38","Arrivals",2017-04-01
"175","Canal Waters Time (hours)","High","36.00","Arrivals",2017-04-01
"176","In-Transit Time (hours)","High","13.03","Arrivals",2017-04-01
"177","Arrivals","Low","27","Arrivals",2017-04-01
"178","Oceangoing Transits","Low","30","Arrivals",2017-04-01
"179","Canal Waters Time (hours)","Low","19.23","Arrivals",2017-04-01
"180","In-Transit Time (hours)","Low","8.95","Arrivals",2017-04-01
"181","Arrivals","Daily Average","31.45","Arrivals",2017-05-01
"182","Oceangoing Transits","Daily Average","31.94","Arrivals",2017-05-01
"183","Canal Waters Time (hours)","Daily Average","24.87","Arrivals",2017-05-01
"184","In-Transit Time (hours)","Daily Average","11.64","Arrivals",2017-05-01
"185","Arrivals","High","44","Arrivals",2017-05-01
"186","Oceangoing Transits","High","38","Arrivals",2017-05-01
"187","Canal Waters Time (hours)","High","41.23","Arrivals",2017-05-01
"188","In-Transit Time (hours)","High","13.37","Arrivals",2017-05-01
"189","Arrivals","Low","21","Arrivals",2017-05-01
"190","Oceangoing Transits","Low","25","Arrivals",2017-05-01
"191","Canal Waters Time (hours)","Low","17.11","Arrivals",2017-05-01
"192","In-Transit Time (hours)","Low","9.07","Arrivals",2017-05-01
"193","Arrivals","Daily Average","33.13","Arrivals",2019-05-01
"194","Oceangoing Transits","Daily Average","33.29","Arrivals",2019-05-01
"195","Canal Waters Time (hours)","Daily Average","25.07","Arrivals",2019-05-01
"196","In-Transit Time (hours)","Daily Average","10.37","Arrivals",2019-05-01
"197","Arrivals","High","46","Arrivals",2019-05-01
"198","Oceangoing Transits","High","40","Arrivals",2019-05-01
"199","Canal Waters Time (hours)","High","37.17","Arrivals",2019-05-01
"200","In-Transit Time (hours)","High","12.63","Arrivals",2019-05-01
"201","Arrivals","Low","24","Arrivals",2019-05-01
"202","Oceangoing Transits","Low","28","Arrivals",2019-05-01
"203","Canal Waters Time (hours)","Low","15.62","Arrivals",2019-05-01
"204","In-Transit Time (hours)","Low","8.75","Arrivals",2019-05-01
"205","Arrivals","Daily Average","34.71","Arrivals",2018-05-01
"206","Oceangoing Transits","Daily Average","34.48","Arrivals",2018-05-01
"207","Canal Waters Time (hours)","Daily Average","24.97","Arrivals",2018-05-01
"208","In-Transit Time (hours)","Daily Average","11.11","Arrivals",2018-05-01
"209","Arrivals","High","53","Arrivals",2018-05-01
"210","Oceangoing Transits","High","40","Arrivals",2018-05-01
"211","Canal Waters Time (hours)","High","40.10","Arrivals",2018-05-01
"212","In-Transit Time (hours)","High","13.28","Arrivals",2018-05-01
"213","Arrivals","Low","25","Arrivals",2018-05-01
"214","Oceangoing Transits","Low","29","Arrivals",2018-05-01
"215","Canal Waters Time (hours)","Low","18.53","Arrivals",2018-05-01
"216","In-Transit Time (hours)","Low","9.11","Arrivals",2018-05-01
"217","Arrivals","Daily Average","28.27","Arrivals",2017-06-01
"218","Oceangoing Transits","Daily Average","29.63","Arrivals",2017-06-01
"219","Canal Waters Time (hours)","Daily Average","26.03","Arrivals",2017-06-01
"220","In-Transit Time (hours)","Daily Average","11.07","Arrivals",2017-06-01
"221","Arrivals","High","39","Arrivals",2017-06-01
"222","Oceangoing Transits","High","35","Arrivals",2017-06-01
"223","Canal Waters Time (hours)","High","70.17","Arrivals",2017-06-01
"224","In-Transit Time (hours)","High","13.01","Arrivals",2017-06-01
"225","Arrivals","Low","21","Arrivals",2017-06-01
"226","Oceangoing Transits","Low","23","Arrivals",2017-06-01
"227","Canal Waters Time (hours)","Low","17.54","Arrivals",2017-06-01
"228","In-Transit Time (hours)","Low","9.38","Arrivals",2017-06-01
"229","Arrivals","Daily Average","32.00","Arrivals",2017-07-01
"230","Oceangoing Transits","Daily Average","32.81","Arrivals",2017-07-01
"231","Canal Waters Time (hours)","Daily Average","29.83","Arrivals",2017-07-01
"232","In-Transit Time (hours)","Daily Average","11.34","Arrivals",2017-07-01
"233","Arrivals","High","42","Arrivals",2017-07-01
"234","Oceangoing Transits","High","36","Arrivals",2017-07-01
"235","Canal Waters Time (hours)","High","39.55","Arrivals",2017-07-01
"236","In-Transit Time (hours)","High","14.09","Arrivals",2017-07-01
"237","Arrivals","Low","24","Arrivals",2017-07-01
"238","Oceangoing Transits","Low","28","Arrivals",2017-07-01
"239","Canal Waters Time (hours)","Low","23.01","Arrivals",2017-07-01
"240","In-Transit Time (hours)","Low","9.74","Arrivals",2017-07-01
"241","Arrivals","Daily Average","31.03","Arrivals",2018-06-01
"242","Oceangoing Transits","Daily Average","31.83","Arrivals",2018-06-01
"243","Canal Waters Time (hours)","Daily Average","22.03","Arrivals",2018-06-01
"244","In-Transit Time (hours)","Daily Average","10.64","Arrivals",2018-06-01
"245","Arrivals","High","39","Arrivals",2018-06-01
"246","Oceangoing Transits","High","37","Arrivals",2018-06-01
"247","Canal Waters Time (hours)","High","29.17","Arrivals",2018-06-01
"248","In-Transit Time (hours)","High","13.16","Arrivals",2018-06-01
"249","Arrivals","Low","22","Arrivals",2018-06-01
"250","Oceangoing Transits","Low","25","Arrivals",2018-06-01
"251","Canal Waters Time (hours)","Low","16.64","Arrivals",2018-06-01
"252","In-Transit Time (hours)","Low","8.67","Arrivals",2018-06-01
"253","Arrivals","Daily Average","32.10","Arrivals",2019-06-01
"254","Oceangoing Transits","Daily Average","32.50","Arrivals",2019-06-01
"255","Canal Waters Time (hours)","Daily Average","22.14","Arrivals",2019-06-01
"256","In-Transit Time (hours)","Daily Average","9.88","Arrivals",2019-06-01
"257","Arrivals","High","42","Arrivals",2019-06-01
"258","Oceangoing Transits","High","36","Arrivals",2019-06-01
"259","Canal Waters Time (hours)","High","33.59","Arrivals",2019-06-01
"260","In-Transit Time (hours)","High","12.21","Arrivals",2019-06-01
"261","Arrivals","Low","25","Arrivals",2019-06-01
"262","Oceangoing Transits","Low","28","Arrivals",2019-06-01
"263","Canal Waters Time (hours)","Low","17.42","Arrivals",2019-06-01
"264","In-Transit Time (hours)","Low","8.15","Arrivals",2019-06-01
"265","Arrivals","Daily Average","31.94","Arrivals",2018-07-01
"266","Oceangoing Transits","Daily Average","32.19","Arrivals",2018-07-01
"267","Canal Waters Time (hours)","Daily Average","23.59","Arrivals",2018-07-01
"268","In-Transit Time (hours)","Daily Average","10.54","Arrivals",2018-07-01
"269","Arrivals","High","44","Arrivals",2018-07-01
"270","Oceangoing Transits","High","37","Arrivals",2018-07-01
"271","Canal Waters Time (hours)","High","33.98","Arrivals",2018-07-01
"272","In-Transit Time (hours)","High","12.44","Arrivals",2018-07-01
"273","Arrivals","Low","22","Arrivals",2018-07-01
"274","Oceangoing Transits","Low","26","Arrivals",2018-07-01
"275","Canal Waters Time (hours)","Low","16.80","Arrivals",2018-07-01
"276","In-Transit Time (hours)","Low","8.93","Arrivals",2018-07-01
"277","Arrivals","Daily Average","33.00","Arrivals",2019-07-01
"278","Oceangoing Transits","Daily Average","32.29","Arrivals",2019-07-01
"279","Canal Waters Time (hours)","Daily Average","24.85","Arrivals",2019-07-01
"280","In-Transit Time (hours)","Daily Average","10.40","Arrivals",2019-07-01
"281","Arrivals","High","44","Arrivals",2019-07-01
"282","Oceangoing Transits","High","36","Arrivals",2019-07-01
"283","Canal Waters Time (hours)","High","34.92","Arrivals",2019-07-01
"284","In-Transit Time (hours)","High","12.90","Arrivals",2019-07-01
"285","Arrivals","Low","26","Arrivals",2019-07-01
"286","Oceangoing Transits","Low","29","Arrivals",2019-07-01
"287","Canal Waters Time (hours)","Low","18.89","Arrivals",2019-07-01
"288","In-Transit Time (hours)","Low","8.80","Arrivals",2019-07-01
"289","Arrivals","Daily Average","32.06","Arrivals",2017-08-01
"290","Oceangoing Transits","Daily Average","31.42","Arrivals",2017-08-01
"291","Canal Waters Time (hours)","Daily Average","31.53","Arrivals",2017-08-01
"292","In-Transit Time (hours)","Daily Average","12.03","Arrivals",2017-08-01
"293","Arrivals","High","45","Arrivals",2017-08-01
"294","Oceangoing Transits","High","36","Arrivals",2017-08-01
"295","Canal Waters Time (hours)","High","49.64","Arrivals",2017-08-01
"296","In-Transit Time (hours)","High","14.76","Arrivals",2017-08-01
"297","Arrivals","Low","20","Arrivals",2017-08-01
"298","Oceangoing Transits","Low","25","Arrivals",2017-08-01
"299","Canal Waters Time (hours)","Low","22.32","Arrivals",2017-08-01
"300","In-Transit Time (hours)","Low","8.57","Arrivals",2017-08-01
"301","Arrivals","Daily Average","32.81","Arrivals",2018-08-01
"302","Oceangoing Transits","Daily Average","32.42","Arrivals",2018-08-01
"303","Canal Waters Time (hours)","Daily Average","25.80","Arrivals",2018-08-01
"304","In-Transit Time (hours)","Daily Average","10.64","Arrivals",2018-08-01
"305","Arrivals","High","44","Arrivals",2018-08-01
"306","Oceangoing Transits","High","40","Arrivals",2018-08-01
"307","Canal Waters Time (hours)","High","36.27","Arrivals",2018-08-01
"308","In-Transit Time (hours)","High","12.21","Arrivals",2018-08-01
"309","Arrivals","Low","21","Arrivals",2018-08-01
"310","Oceangoing Transits","Low","25","Arrivals",2018-08-01
"311","Canal Waters Time (hours)","Low","18.56","Arrivals",2018-08-01
"312","In-Transit Time (hours)","Low","8.64","Arrivals",2018-08-01
"313","Arrivals","Daily Average","35.45","Arrivals",2019-08-01
"314","Oceangoing Transits","Daily Average","35.90","Arrivals",2019-08-01
"315","Canal Waters Time (hours)","Daily Average","34.25","Arrivals",2019-08-01
"316","In-Transit Time (hours)","Daily Average","11.55","Arrivals",2019-08-01
"317","Arrivals","High","47","Arrivals",2019-08-01
"318","Oceangoing Transits","High","43","Arrivals",2019-08-01
"319","Canal Waters Time (hours)","High","49.92","Arrivals",2019-08-01
"320","In-Transit Time (hours)","High","15.10","Arrivals",2019-08-01
"321","Arrivals","Low","24","Arrivals",2019-08-01
"322","Oceangoing Transits","Low","30","Arrivals",2019-08-01
"323","Canal Waters Time (hours)","Low","19.71","Arrivals",2019-08-01
"324","In-Transit Time (hours)","Low","9.76","Arrivals",2019-08-01
"325","Arrivals","Daily Average","33.00","Arrivals",2018-09-01
"326","Oceangoing Transits","Daily Average","33.07","Arrivals",2018-09-01
"327","Canal Waters Time (hours)","Daily Average","25.51","Arrivals",2018-09-01
"328","In-Transit Time (hours)","Daily Average","10.79","Arrivals",2018-09-01
"329","Arrivals","High","48","Arrivals",2018-09-01
"330","Oceangoing Transits","High","37","Arrivals",2018-09-01
"331","Canal Waters Time (hours)","High","34.45","Arrivals",2018-09-01
"332","In-Transit Time (hours)","High","14.68","Arrivals",2018-09-01
"333","Arrivals","Low","21","Arrivals",2018-09-01
"334","Oceangoing Transits","Low","27","Arrivals",2018-09-01
"335","Canal Waters Time (hours)","Low","19.96","Arrivals",2018-09-01
"336","In-Transit Time (hours)","Low","9.22","Arrivals",2018-09-01
"337","Arrivals","Daily Average","33.03","Arrivals",2018-10-01
"338","Oceangoing Transits","Daily Average","33.74","Arrivals",2018-10-01
"339","Canal Waters Time (hours)","Daily Average","23.83","Arrivals",2018-10-01
"340","In-Transit Time (hours)","Daily Average","10.17","Arrivals",2018-10-01
"341","Arrivals","High","43","Arrivals",2018-10-01
"342","Oceangoing Transits","High","39","Arrivals",2018-10-01
"343","Canal Waters Time (hours)","High","36.58","Arrivals",2018-10-01
"344","In-Transit Time (hours)","High","12.20","Arrivals",2018-10-01
"345","Arrivals","Low","23","Arrivals",2018-10-01
"346","Oceangoing Transits","Low","27","Arrivals",2018-10-01
"347","Canal Waters Time (hours)","Low","15.42","Arrivals",2018-10-01
"348","In-Transit Time (hours)","Low","8.30","Arrivals",2018-10-01
"349","Arrivals","Daily Average","31.37","Arrivals",2017-09-01
"350","Oceangoing Transits","Daily Average","32.13","Arrivals",2017-09-01
"351","Canal Waters Time (hours)","Daily Average","26.27","Arrivals",2017-09-01
"352","In-Transit Time (hours)","Daily Average","10.90","Arrivals",2017-09-01
"353","Arrivals","High","44","Arrivals",2017-09-01
"354","Oceangoing Transits","High","37","Arrivals",2017-09-01
"355","Canal Waters Time (hours)","High","46.76","Arrivals",2017-09-01
"356","In-Transit Time (hours)","High","14.46","Arrivals",2017-09-01
"357","Arrivals","Low","20","Arrivals",2017-09-01
"358","Oceangoing Transits","Low","27","Arrivals",2017-09-01
"359","Canal Waters Time (hours)","Low","14.98","Arrivals",2017-09-01
"360","In-Transit Time (hours)","Low","8.02","Arrivals",2017-09-01
"361","Arrivals","Daily Average","32.23","Arrivals",2018-11-01
