"","Measure","Attribute","Value","Category","Date"
"330","Vessels 91’ beam to under 107’ beam","Daily Average","18.50","Oceangoing Transits",2018-09-01
"331","Neopanamax Vessels (107’ beam and over)","Daily Average","7.63","Oceangoing Transits",2018-09-01
"332","Total:","Daily Average","33.07","Oceangoing Transits",2018-09-01
"333","Vessels of less than 91’ beam","Percentage","20.97","Oceangoing Transits",2018-09-01
"334","Vessels 91’ beam to under 107’ beam","Percentage","55.95","Oceangoing Transits",2018-09-01
"335","Neopanamax Vessels (107’ beam and over)","Percentage","23.08","Oceangoing Transits",2018-09-01
"336","Total:","Percentage","100","Oceangoing Transits",2018-09-01
"337","Vessels of less than 91’ beam","Total","228","Oceangoing Transits",2018-10-01
"338","Vessels 91’ beam to under 107’ beam","Total","590","Oceangoing Transits",2018-10-01
"339","Neopanamax Vessels (107’ beam and over)","Total","228","Oceangoing Transits",2018-10-01
"340","Total:","Total","1,046","Oceangoing Transits",2018-10-01
"341","Vessels of less than 91’ beam","Daily Average","7.35","Oceangoing Transits",2018-10-01
"342","Vessels 91’ beam to under 107’ beam","Daily Average","19.03","Oceangoing Transits",2018-10-01
"343","Neopanamax Vessels (107’ beam and over)","Daily Average","7.35","Oceangoing Transits",2018-10-01
"344","Total:","Daily Average","33.74","Oceangoing Transits",2018-10-01
"345","Vessels of less than 91’ beam","Percentage","21.80","Oceangoing Transits",2018-10-01
"346","Vessels 91’ beam to under 107’ beam","Percentage","56.40","Oceangoing Transits",2018-10-01
"347","Neopanamax Vessels (107’ beam and over)","Percentage","21.80","Oceangoing Transits",2018-10-01
"348","Total:","Percentage","100","Oceangoing Transits",2018-10-01
"349","Vessels of less than 91´ beam","Total","230","Oceangoing Transits",2017-09-01
"350","Vessels 91´ beam to under 107’ beam","Total","577","Oceangoing Transits",2017-09-01
"351","Neopanamax Vessels (beam107’ and over)","Total","157","Oceangoing Transits",2017-09-01
"352","Total:","Total","964","Oceangoing Transits",2017-09-01
"353","Vessels of less than 91´ beam","Daily Average","7.67","Oceangoing Transits",2017-09-01
"354","Vessels 91´ beam to under 107’ beam","Daily Average","19.23","Oceangoing Transits",2017-09-01
"355","Neopanamax Vessels (beam107’ and over)","Daily Average","5.23","Oceangoing Transits",2017-09-01
"356","Total:","Daily Average","32.13","Oceangoing Transits",2017-09-01
"357","Vessels of less than 91´ beam","Percentage","23.86","Oceangoing Transits",2017-09-01
"358","Vessels 91´ beam to under 107’ beam","Percentage","59.85","Oceangoing Transits",2017-09-01
"359","Neopanamax Vessels (beam107’ and over)","Percentage","16.29","Oceangoing Transits",2017-09-01
"360","Total:","Percentage","100","Oceangoing Transits",2017-09-01
"361","Vessels of less than 91’ beam","Total","195","Oceangoing Transits",2018-11-01
"362","Vessels 91’ beam to under 107’ beam","Total","556","Oceangoing Transits",2018-11-01
"363","Neopanamax Vessels (107’ beam and over)","Total","226","Oceangoing Transits",2018-11-01
"364","Total:","Total","977","Oceangoing Transits",2018-11-01
"365","Vessels of less than 91’ beam","Daily Average","6.50","Oceangoing Transits",2018-11-01
"366","Vessels 91’ beam to under 107’ beam","Daily Average","18.53","Oceangoing Transits",2018-11-01
"367","Neopanamax Vessels (107’ beam and over)","Daily Average","7.53","Oceangoing Transits",2018-11-01
"368","Total:","Daily Average","32.57","Oceangoing Transits",2018-11-01
"369","Vessels of less than 91’ beam","Percentage","19.96","Oceangoing Transits",2018-11-01
"370","Vessels 91’ beam to under 107’ beam","Percentage","56.91","Oceangoing Transits",2018-11-01
"371","Neopanamax Vessels (107’ beam and over)","Percentage","23.13","Oceangoing Transits",2018-11-01
"372","Total:","Percentage","100","Oceangoing Transits",2018-11-01
"373","Vessels of less than 91’ beam","Total","222","Oceangoing Transits",2019-09-01
"374","Vessels 91’ beam to under 107’ beam","Total","549","Oceangoing Transits",2019-09-01
"375","Neopanamax Vessels (107’ beam and over)","Total","254","Oceangoing Transits",2019-09-01
"376","Total:","Total","1,025","Oceangoing Transits",2019-09-01
"377","Vessels of less than 91’ beam","Daily Average","7.40","Oceangoing Transits",2019-09-01
"378","Vessels 91’ beam to under 107’ beam","Daily Average","18.30","Oceangoing Transits",2019-09-01
"379","Neopanamax Vessels (107’ beam and over)","Daily Average","8.47","Oceangoing Transits",2019-09-01
"380","Total:","Daily Average","34.17","Oceangoing Transits",2019-09-01
"381","Vessels of less than 91’ beam","Percentage","21.66","Oceangoing Transits",2019-09-01
"382","Vessels 91’ beam to under 107’ beam","Percentage","53.56","Oceangoing Transits",2019-09-01
"383","Neopanamax Vessels (107’ beam and over)","Percentage","24.78","Oceangoing Transits",2019-09-01
"384","Total:","Percentage","100","Oceangoing Transits",2019-09-01
"385","Vessels of less than 91´ beam","Total","215","Oceangoing Transits",2017-10-01
"386","Vessels 91´ beam to under 107’ beam","Total","656","Oceangoing Transits",2017-10-01
"387","Neopanamax Vessels (beam107’ and over)","Total","184","Oceangoing Transits",2017-10-01
"388","Total:","Total","1055","Oceangoing Transits",2017-10-01
"389","Vessels of less than 91´ beam","Daily Average","6.94","Oceangoing Transits",2017-10-01
"390","Vessels 91´ beam to under 107’ beam","Daily Average","21.16","Oceangoing Transits",2017-10-01
"391","Neopanamax Vessels (beam107’ and over)","Daily Average","5.94","Oceangoing Transits",2017-10-01
"392","Total:","Daily Average","34.03","Oceangoing Transits",2017-10-01
"393","Vessels of less than 91´ beam","Percentage","20.38","Oceangoing Transits",2017-10-01
"394","Vessels 91´ beam to under 107’ beam","Percentage","62.18","Oceangoing Transits",2017-10-01
"395","Neopanamax Vessels (beam107’ and over)","Percentage","17.44","Oceangoing Transits",2017-10-01
"396","Total:","Percentage","100","Oceangoing Transits",2017-10-01
"397","Vessels of less than 91´ beam","Total","216","Oceangoing Transits",2017-11-01
"398","Vessels 91´ beam to under 107’ beam","Total","599","Oceangoing Transits",2017-11-01
"399","Neopanamax Vessels (beam107’ and over)","Total","179","Oceangoing Transits",2017-11-01
"400","Total:","Total","994","Oceangoing Transits",2017-11-01
"401","Vessels of less than 91´ beam","Daily Average","7.20","Oceangoing Transits",2017-11-01
"402","Vessels 91´ beam to under 107’ beam","Daily Average","19.97","Oceangoing Transits",2017-11-01
"403","Neopanamax Vessels (beam107’ and over)","Daily Average","5.97","Oceangoing Transits",2017-11-01
"404","Total:","Daily Average","33.13","Oceangoing Transits",2017-11-01
"405","Vessels of less than 91´ beam","Percentage","21.73","Oceangoing Transits",2017-11-01
"406","Vessels 91´ beam to under 107’ beam","Percentage","60.26","Oceangoing Transits",2017-11-01
"407","Neopanamax Vessels (beam107’ and over)","Percentage","18.01","Oceangoing Transits",2017-11-01
"408","Total:","Percentage","100","Oceangoing Transits",2017-11-01
"409","Vessels of less than 91’ beam","Total","219","Oceangoing Transits",2019-10-01
"410","Vessels 91’ beam to under 107’ beam","Total","634","Oceangoing Transits",2019-10-01
"411","Neopanamax Vessels (107’ beam and over)","Total","284","Oceangoing Transits",2019-10-01
"412","Total:","Total","1,137","Oceangoing Transits",2019-10-01
"413","Vessels of less than 91’ beam","Daily Average","7.06","Oceangoing Transits",2019-10-01
"414","Vessels 91’ beam to under 107’ beam","Daily Average","20.45","Oceangoing Transits",2019-10-01
"415","Neopanamax Vessels (107’ beam and over)","Daily Average","9.16","Oceangoing Transits",2019-10-01
"416","Total:","Daily Average","36.68","Oceangoing Transits",2019-10-01
"417","Vessels of less than 91’ beam","Percentage","19.26","Oceangoing Transits",2019-10-01
"418","Vessels 91’ beam to under 107’ beam","Percentage","55.76","Oceangoing Transits",2019-10-01
"419","Neopanamax Vessels (107’ beam and over)","Percentage","24.98","Oceangoing Transits",2019-10-01
"420","Total:","Percentage","100","Oceangoing Transits",2019-10-01
"421","Vessels of less than 91’ beam","Total","214","Oceangoing Transits",2019-11-01
"422","Vessels 91’ beam to under 107’ beam","Total","648","Oceangoing Transits",2019-11-01
"423","Neopanamax Vessels (107’ beam and over)","Total","274","Oceangoing Transits",2019-11-01
"424","Total:","Total","1,136","Oceangoing Transits",2019-11-01
"425","Vessels of less than 91’ beam","Daily Average","7.13","Oceangoing Transits",2019-11-01
"426","Vessels 91’ beam to under 107’ beam","Daily Average","21.60","Oceangoing Transits",2019-11-01
"427","Neopanamax Vessels (107’ beam and over)","Daily Average","9.13","Oceangoing Transits",2019-11-01
"428","Total:","Daily Average","37.87","Oceangoing Transits",2019-11-01
"429","Vessels of less than 91’ beam","Percentage","18.84","Oceangoing Transits",2019-11-01
"430","Vessels 91’ beam to under 107’ beam","Percentage","57.04","Oceangoing Transits",2019-11-01
"431","Neopanamax Vessels (107’ beam and over)","Percentage","24.12","Oceangoing Transits",2019-11-01
"432","Total:","Percentage","100.00","Oceangoing Transits",2019-11-01
"433","Vessels of less than 91’ beam","Total","243","Oceangoing Transits",2019-12-01
"434","Vessels 91’ beam to under 107’ beam","Total","624","Oceangoing Transits",2019-12-01
"435","Neopanamax Vessels (107’ beam and over)","Total","276","Oceangoing Transits",2019-12-01
"436","Total:","Total","1,143","Oceangoing Transits",2019-12-01
"437","Vessels of less than 91’ beam","Daily Average","7.84","Oceangoing Transits",2019-12-01
"438","Vessels 91’ beam to under 107’ beam","Daily Average","20.13","Oceangoing Transits",2019-12-01
"439","Neopanamax Vessels (107’ beam and over)","Daily Average","8.90","Oceangoing Transits",2019-12-01
"440","Total:","Daily Average","36.87","Oceangoing Transits",2019-12-01
"441","Vessels of less than 91’ beam","Percentage","21.26","Oceangoing Transits",2019-12-01
"442","Vessels 91’ beam to under 107’ beam","Percentage","54.59","Oceangoing Transits",2019-12-01
"443","Neopanamax Vessels (107’ beam and over)","Percentage","24.15","Oceangoing Transits",2019-12-01
"444","Total:","Percentage","100.00","Oceangoing Transits",2019-12-01
"445","Vessels of less than 91’ beam","Total","183","Oceangoing Transits",2020-12-01
"446","Vessels 91’ beam to under 107’ beam","Total","637","Oceangoing Transits",2020-12-01
"447","Neopanamax Vessels (107’ beam and over)","Total","294","Oceangoing Transits",2020-12-01
"448","Total:","Total","1,114","Oceangoing Transits",2020-12-01
"449","Vessels of less than 91’ beam","Daily Average","5.90","Oceangoing Transits",2020-12-01
"450","Vessels 91’ beam to under 107’ beam","Daily Average","20.55","Oceangoing Transits",2020-12-01
"451","Neopanamax Vessels (107’ beam and over)","Daily Average","9.48","Oceangoing Transits",2020-12-01
"452","Total:","Daily Average","35.94","Oceangoing Transits",2020-12-01
"453","Vessels of less than 91’ beam","Percentage","16.43","Oceangoing Transits",2020-12-01
"454","Vessels 91’ beam to under 107’ beam","Percentage","57.18","Oceangoing Transits",2020-12-01
"455","Neopanamax Vessels (107’ beam and over)","Percentage","26.39","Oceangoing Transits",2020-12-01
"456","Total:","Percentage","100.00","Oceangoing Transits",2020-12-01
"457","Vessels of less than 91’ beam","Total","238","Oceangoing Transits",2020-01-01
"458","Vessels 91’ beam to under 107’ beam","Total","608","Oceangoing Transits",2020-01-01
"459","Neopanamax Vessels (107’ beam and over)","Total","288","Oceangoing Transits",2020-01-01
"460","Total:","Total","1,134","Oceangoing Transits",2020-01-01
"461","Vessels of less than 91’ beam","Daily Average","7.68","Oceangoing Transits",2020-01-01
"462","Vessels 91’ beam to under 107’ beam","Daily Average","19.61","Oceangoing Transits",2020-01-01
"463","Neopanamax Vessels (107’ beam and over)","Daily Average","9.29","Oceangoing Transits",2020-01-01
"464","Total:","Daily Average","36.58","Oceangoing Transits",2020-01-01
"465","Vessels of less than 91’ beam","Percentage","20.99","Oceangoing Transits",2020-01-01
"466","Vessels 91’ beam to under 107’ beam","Percentage","53.62","Oceangoing Transits",2020-01-01
"467","Neopanamax Vessels (107’ beam and over)","Percentage","25.40","Oceangoing Transits",2020-01-01
"468","Total:","Percentage","100.00","Oceangoing Transits",2020-01-01
"469","Vessels of less than 91’ beam","Total","186","Oceangoing Transits",2021-01-01
"470","Vessels 91’ beam to under 107’ beam","Total","583","Oceangoing Transits",2021-01-01
"471","Neopanamax Vessels (107’ beam and over)","Total","313","Oceangoing Transits",2021-01-01
"472","Total:","Total","1,082","Oceangoing Transits",2021-01-01
"473","Vessels of less than 91’ beam","Daily Average","6.00","Oceangoing Transits",2021-01-01
"474","Vessels 91’ beam to under 107’ beam","Daily Average","18.81","Oceangoing Transits",2021-01-01
"475","Neopanamax Vessels (107’ beam and over)","Daily Average","10.10","Oceangoing Transits",2021-01-01
"476","Total:","Daily Average","34.90","Oceangoing Transits",2021-01-01
"477","Vessels of less than 91’ beam","Percentage","17.19","Oceangoing Transits",2021-01-01
"478","Vessels 91’ beam to under 107’ beam","Percentage","53.88","Oceangoing Transits",2021-01-01
"479","Neopanamax Vessels (107’ beam and over)","Percentage","28.93","Oceangoing Transits",2021-01-01
"480","Total:","Percentage","100.00","Oceangoing Transits",2021-01-01
"481","Vessels of less than 91’ beam","Total","217","Oceangoing Transits",2020-02-01
"482","Vessels 91’ beam to under 107’ beam","Total","556","Oceangoing Transits",2020-02-01
"483","Neopanamax Vessels (107’ beam and over)","Total","248","Oceangoing Transits",2020-02-01
"484","Total:","Total","1,021","Oceangoing Transits",2020-02-01
"485","Vessels of less than 91’ beam","Daily Average","7.48","Oceangoing Transits",2020-02-01
"486","Vessels 91’ beam to under 107’ beam","Daily Average","19.17","Oceangoing Transits",2020-02-01
"487","Neopanamax Vessels (107’ beam and over)","Daily Average","8.55","Oceangoing Transits",2020-02-01
"488","Total:","Daily Average","35.21","Oceangoing Transits",2020-02-01
"489","Vessels of less than 91’ beam","Percentage","21.25","Oceangoing Transits",2020-02-01
"490","Vessels 91’ beam to under 107’ beam","Percentage","54.46","Oceangoing Transits",2020-02-01
"491","Neopanamax Vessels (107’ beam and over)","Percentage","24.29","Oceangoing Transits",2020-02-01
"492","Total:","Percentage","100.00","Oceangoing Transits",2020-02-01
"493","Vessels of less than 91’ beam","Total","187","Oceangoing Transits",2021-02-01
"494","Vessels 91’ beam to under 107’ beam","Total","556","Oceangoing Transits",2021-02-01
"495","Neopanamax Vessels (107’ beam and over)","Total","247","Oceangoing Transits",2021-02-01
"496","Total:","Total","990","Oceangoing Transits",2021-02-01
"497","Vessels of less than 91’ beam","Daily Average","6.68","Oceangoing Transits",2021-02-01
"498","Vessels 91’ beam to under 107’ beam","Daily Average","19.86","Oceangoing Transits",2021-02-01
"499","Neopanamax Vessels (107’ beam and over)","Daily Average","8.82","Oceangoing Transits",2021-02-01
"500","Total:","Daily Average","35.36","Oceangoing Transits",2021-02-01
"501","Vessels of less than 91’ beam","Percentage","18.89","Oceangoing Transits",2021-02-01
"502","Vessels 91’ beam to under 107’ beam","Percentage","56.16","Oceangoing Transits",2021-02-01
"503","Neopanamax Vessels (107’ beam and over)","Percentage","24.95","Oceangoing Transits",2021-02-01
"504","Total:","Percentage","100.00","Oceangoing Transits",2021-02-01
"505","Vessels of less than 91’ beam","Total","168","Oceangoing Transits",2020-05-01
"506","Vessels 91’ beam to under 107’ beam","Total","482","Oceangoing Transits",2020-05-01
"507","Neopanamax Vessels (107’ beam and over)","Total","244","Oceangoing Transits",2020-05-01
"508","Total:","Total","894","Oceangoing Transits",2020-05-01
"509","Vessels of less than 91’ beam","Daily Average","5.42","Oceangoing Transits",2020-05-01
"510","Vessels 91’ beam to under 107’ beam","Daily Average","15.55","Oceangoing Transits",2020-05-01
"511","Neopanamax Vessels (107’ beam and over)","Daily Average","7.87","Oceangoing Transits",2020-05-01
"512","Total:","Daily Average","28.84","Oceangoing Transits",2020-05-01
"513","Vessels of less than 91’ beam","Percentage","18.79","Oceangoing Transits",2020-05-01
"514","Vessels 91’ beam to under 107’ beam","Percentage","53.91","Oceangoing Transits",2020-05-01
"515","Neopanamax Vessels (107’ beam and over)","Percentage","27.29","Oceangoing Transits",2020-05-01
"516","Total:","Percentage","100.00","Oceangoing Transits",2020-05-01
"517","Vessels of less than 91’ beam","Total","207","Oceangoing Transits",2021-03-01
"518","Vessels 91’ beam to under 107’ beam","Total","601","Oceangoing Transits",2021-03-01
"519","Neopanamax Vessels (107’ beam and over)","Total","291","Oceangoing Transits",2021-03-01
"520","Total:","Total","1,099","Oceangoing Transits",2021-03-01
"521","Vessels of less than 91’ beam","Daily Average","6.68","Oceangoing Transits",2021-03-01
"522","Vessels 91’ beam to under 107’ beam","Daily Average","19.39","Oceangoing Transits",2021-03-01
"523","Neopanamax Vessels (107’ beam and over)","Daily Average","9.39","Oceangoing Transits",2021-03-01
"524","Total:","Daily Average","35.45","Oceangoing Transits",2021-03-01
"525","Vessels of less than 91’ beam","Percentage","18.84","Oceangoing Transits",2021-03-01
"526","Vessels 91’ beam to under 107’ beam","Percentage","54.69","Oceangoing Transits",2021-03-01
"527","Neopanamax Vessels (107’ beam and over)","Percentage","26.48","Oceangoing Transits",2021-03-01
"528","Total:","Percentage","100.00","Oceangoing Transits",2021-03-01
"529","Vessels of less than 91’ beam","Total","193","Oceangoing Transits",2021-04-01
"530","Vessels 91’ beam to under 107’ beam","Total","565","Oceangoing Transits",2021-04-01
"531","Neopanamax Vessels (107’ beam and over)","Total","275","Oceangoing Transits",2021-04-01
"532","Total:","Total","1,033","Oceangoing Transits",2021-04-01
"533","Vessels of less than 91’ beam","Daily Average","6.43","Oceangoing Transits",2021-04-01
"534","Vessels 91’ beam to under 107’ beam","Daily Average","18.83","Oceangoing Transits",2021-04-01
"535","Neopanamax Vessels (107’ beam and over)","Daily Average","9.17","Oceangoing Transits",2021-04-01
"536","Total:","Daily Average","34.43","Oceangoing Transits",2021-04-01
"537","Vessels of less than 91’ beam","Percentage","18.68","Oceangoing Transits",2021-04-01
"538","Vessels 91’ beam to under 107’ beam","Percentage","54.70","Oceangoing Transits",2021-04-01
"539","Neopanamax Vessels (107’ beam and over)","Percentage","26.62","Oceangoing Transits",2021-04-01
"540","Total:","Percentage","100.00","Oceangoing Transits",2021-04-01
"541","Vessels of less than 91’ beam","Total","183","Oceangoing Transits",2020-06-01
"542","Vessels 91’ beam to under 107’ beam","Total","437","Oceangoing Transits",2020-06-01
"543","Neopanamax Vessels (107’ beam and over)","Total","225","Oceangoing Transits",2020-06-01
"544","Total:","Total","845","Oceangoing Transits",2020-06-01
"545","Vessels of less than 91’ beam","Daily Average","6.10","Oceangoing Transits",2020-06-01
"546","Vessels 91’ beam to under 107’ beam","Daily Average","14.57","Oceangoing Transits",2020-06-01
"547","Neopanamax Vessels (107’ beam and over)","Daily Average","7.50","Oceangoing Transits",2020-06-01
"548","Total:","Daily Average","28.17","Oceangoing Transits",2020-06-01
"549","Vessels of less than 91’ beam","Percentage","21.66","Oceangoing Transits",2020-06-01
"550","Vessels 91’ beam to under 107’ beam","Percentage","51.72","Oceangoing Transits",2020-06-01
"551","Neopanamax Vessels (107’ beam and over)","Percentage","26.63","Oceangoing Transits",2020-06-01
"552","Total:","Percentage","100.00","Oceangoing Transits",2020-06-01
"553","Vessels of less than 91’ beam","Total","166","Oceangoing Transits",2021-05-01
"554","Vessels 91’ beam to under 107’ beam","Total","566","Oceangoing Transits",2021-05-01
"555","Neopanamax Vessels (107’ beam and over)","Total","294","Oceangoing Transits",2021-05-01
"556","Total:","Total","1,026","Oceangoing Transits",2021-05-01
"557","Vessels of less than 91’ beam","Daily Average","5.35","Oceangoing Transits",2021-05-01
"558","Vessels 91’ beam to under 107’ beam","Daily Average","18.26","Oceangoing Transits",2021-05-01
"559","Neopanamax Vessels (107’ beam and over)","Daily Average","9.48","Oceangoing Transits",2021-05-01
"560","Total:","Daily Average","33.10","Oceangoing Transits",2021-05-01
"561","Vessels of less than 91’ beam","Percentage","16.18","Oceangoing Transits",2021-05-01
"562","Vessels 91’ beam to under 107’ beam","Percentage","55.17","Oceangoing Transits",2021-05-01
"563","Neopanamax Vessels (107’ beam and over)","Percentage","28.65","Oceangoing Transits",2021-05-01
"564","Total:","Percentage","100.00","Oceangoing Transits",2021-05-01
"565","Vessels of less than 91’ beam","Total","161","Oceangoing Transits",2020-07-01
"566","Vessels 91’ beam to under 107’ beam","Total","532","Oceangoing Transits",2020-07-01
"567","Neopanamax Vessels (107’ beam and over)","Total","240","Oceangoing Transits",2020-07-01
"568","Total:","Total","933","Oceangoing Transits",2020-07-01
"569","Vessels of less than 91’ beam","Daily Average","5.19","Oceangoing Transits",2020-07-01
"570","Vessels 91’ beam to under 107’ beam","Daily Average","17.16","Oceangoing Transits",2020-07-01
"571","Neopanamax Vessels (107’ beam and over)","Daily Average","7.74","Oceangoing Transits",2020-07-01
"572","Total:","Daily Average","30.10","Oceangoing Transits",2020-07-01
"573","Vessels of less than 91’ beam","Percentage","17.26","Oceangoing Transits",2020-07-01
"574","Vessels 91’ beam to under 107’ beam","Percentage","57.02","Oceangoing Transits",2020-07-01
"575","Neopanamax Vessels (107’ beam and over)","Percentage","25.72","Oceangoing Transits",2020-07-01
"576","Total:","Percentage","100.00","Oceangoing Transits",2020-07-01
"577","Vessels of less than 91’ beam","Total","159","Oceangoing Transits",2021-06-01
"578","Vessels 91’ beam to under 107’ beam","Total","558","Oceangoing Transits",2021-06-01
"579","Neopanamax Vessels (107’ beam and over)","Total","278","Oceangoing Transits",2021-06-01
"580","Total:","Total","995","Oceangoing Transits",2021-06-01
"581","Vessels of less than 91’ beam","Daily Average","5.30","Oceangoing Transits",2021-06-01
"582","Vessels 91’ beam to under 107’ beam","Daily Average","18.60","Oceangoing Transits",2021-06-01
"583","Neopanamax Vessels (107’ beam and over)","Daily Average","9.27","Oceangoing Transits",2021-06-01
"584","Total:","Daily Average","33.17","Oceangoing Transits",2021-06-01
"585","Vessels of less than 91’ beam","Percentage","15.98","Oceangoing Transits",2021-06-01
"586","Vessels 91’ beam to under 107’ beam","Percentage","56.08","Oceangoing Transits",2021-06-01
"587","Neopanamax Vessels (107’ beam and over)","Percentage","27.94","Oceangoing Transits",2021-06-01
"588","Total:","Percentage","100.00","Oceangoing Transits",2021-06-01
"589","Vessels of less than 91’ beam","Total","163","Oceangoing Transits",2020-08-01
"590","Vessels 91’ beam to under 107’ beam","Total","568","Oceangoing Transits",2020-08-01
"591","Neopanamax Vessels (107’ beam and over)","Total","269","Oceangoing Transits",2020-08-01
"592","Total:","Total","1,000","Oceangoing Transits",2020-08-01
"593","Vessels of less than 91’ beam","Daily Average","5.26","Oceangoing Transits",2020-08-01
"594","Vessels 91’ beam to under 107’ beam","Daily Average","18.32","Oceangoing Transits",2020-08-01
"595","Neopanamax Vessels (107’ beam and over)","Daily Average","8.68","Oceangoing Transits",2020-08-01
"596","Total:","Daily Average","32.26","Oceangoing Transits",2020-08-01
"597","Vessels of less than 91’ beam","Percentage","16.30","Oceangoing Transits",2020-08-01
"598","Vessels 91’ beam to under 107’ beam","Percentage","56.80","Oceangoing Transits",2020-08-01
"599","Neopanamax Vessels (107’ beam and over)","Percentage","26.90","Oceangoing Transits",2020-08-01
"600","Total:","Percentage","100.00","Oceangoing Transits",2020-08-01
"601","Vessels of less than 91’ beam","Total","174","Oceangoing Transits",2021-07-01
"602","Vessels 91’ beam to under 107’ beam","Total","563","Oceangoing Transits",2021-07-01
"603","Neopanamax Vessels (107’ beam and over)","Total","307","Oceangoing Transits",2021-07-01
"604","Total:","Total","1,044","Oceangoing Transits",2021-07-01
"605","Vessels of less than 91’ beam","Daily Average","5.61","Oceangoing Transits",2021-07-01
"606","Vessels 91’ beam to under 107’ beam","Daily Average","18.16","Oceangoing Transits",2021-07-01
"607","Neopanamax Vessels (107’ beam and over)","Daily Average","9.90","Oceangoing Transits",2021-07-01
"608","Total:","Daily Average","33.68","Oceangoing Transits",2021-07-01
"609","Vessels of less than 91’ beam","Percentage","16.67","Oceangoing Transits",2021-07-01
"610","Vessels 91’ beam to under 107’ beam","Percentage","53.93","Oceangoing Transits",2021-07-01
"611","Neopanamax Vessels (107’ beam and over)","Percentage","29.41","Oceangoing Transits",2021-07-01
"612","Total:","Percentage","100.00","Oceangoing Transits",2021-07-01
"613","Vessels of less than 91’ beam","Total","171","Oceangoing Transits",2020-09-01
"614","Vessels 91’ beam to under 107’ beam","Total","545","Oceangoing Transits",2020-09-01
"615","Neopanamax Vessels (107’ beam and over)","Total","233","Oceangoing Transits",2020-09-01
"616","Total:","Total","949","Oceangoing Transits",2020-09-01
"617","Vessels of less than 91’ beam","Daily Average","5.70","Oceangoing Transits",2020-09-01
"618","Vessels 91’ beam to under 107’ beam","Daily Average","18.17","Oceangoing Transits",2020-09-01
"619","Neopanamax Vessels (107’ beam and over)","Daily Average","7.77","Oceangoing Transits",2020-09-01
"620","Total:","Daily Average","31.63","Oceangoing Transits",2020-09-01
"621","Vessels of less than 91’ beam","Percentage","18.02","Oceangoing Transits",2020-09-01
"622","Vessels 91’ beam to under 107’ beam","Percentage","57.43","Oceangoing Transits",2020-09-01
"623","Neopanamax Vessels (107’ beam and over)","Percentage","24.55","Oceangoing Transits",2020-09-01
"624","Total:","Percentage","100.00","Oceangoing Transits",2020-09-01
"625","Vessels of less than 91’ beam","Total","188","Oceangoing Transits",2021-08-01
"626","Vessels 91’ beam to under 107’ beam","Total","611","Oceangoing Transits",2021-08-01
"627","Neopanamax Vessels (107’ beam and over)","Total","302","Oceangoing Transits",2021-08-01
"628","Total:","Total","1,101","Oceangoing Transits",2021-08-01
"629","Vessels of less than 91’ beam","Daily Average","6.06","Oceangoing Transits",2021-08-01
"630","Vessels 91’ beam to under 107’ beam","Daily Average","19.71","Oceangoing Transits",2021-08-01
"631","Neopanamax Vessels (107’ beam and over)","Daily Average","9.74","Oceangoing Transits",2021-08-01
"632","Total:","Daily Average","35.52","Oceangoing Transits",2021-08-01
"633","Vessels of less than 91’ beam","Percentage","17.08","Oceangoing Transits",2021-08-01
"634","Vessels 91’ beam to under 107’ beam","Percentage","55.50","Oceangoing Transits",2021-08-01
"635","Neopanamax Vessels (107’ beam and over)","Percentage","27.43","Oceangoing Transits",2021-08-01
"636","Total:","Percentage","100.00","Oceangoing Transits",2021-08-01
"637","Vessels of less than 91’ beam","Total","167","Oceangoing Transits",2020-10-01
"638","Vessels 91’ beam to under 107’ beam","Total","652","Oceangoing Transits",2020-10-01
"639","Neopanamax Vessels (107’ beam and over)","Total","278","Oceangoing Transits",2020-10-01
"640","Total:","Total","1,097","Oceangoing Transits",2020-10-01
"641","Vessels of less than 91’ beam","Daily Average","5.39","Oceangoing Transits",2020-10-01
"642","Vessels 91’ beam to under 107’ beam","Daily Average","21.03","Oceangoing Transits",2020-10-01
"643","Neopanamax Vessels (107’ beam and over)","Daily Average","8.97","Oceangoing Transits",2020-10-01
"644","Total:","Daily Average","35.39","Oceangoing Transits",2020-10-01
"645","Vessels of less than 91’ beam","Percentage","15.22","Oceangoing Transits",2020-10-01
"646","Vessels 91’ beam to under 107’ beam","Percentage","59.43","Oceangoing Transits",2020-10-01
"647","Neopanamax Vessels (107’ beam and over)","Percentage","25.34","Oceangoing Transits",2020-10-01
"648","Total:","Percentage","100.00","Oceangoing Transits",2020-10-01
"649","Vessels of less than 91’ beam","Total","180","Oceangoing Transits",2021-09-01
"650","Vessels 91’ beam to under 107’ beam","Total","453","Oceangoing Transits",2021-09-01
"651","Neopanamax Vessels (107’ beam and over)","Total","272","Oceangoing Transits",2021-09-01
"652","Total:","Total","905","Oceangoing Transits",2021-09-01
"653","Vessels of less than 91’ beam","Daily Average","6.00","Oceangoing Transits",2021-09-01
"654","Vessels 91’ beam to under 107’ beam","Daily Average","15.10","Oceangoing Transits",2021-09-01
"655","Neopanamax Vessels (107’ beam and over)","Daily Average","9.07","Oceangoing Transits",2021-09-01
"656","Total:","Daily Average","30.17","Oceangoing Transits",2021-09-01
"657","Vessels of less than 91’ beam","Percentage","19.89%","Oceangoing Transits",2021-09-01
"658","Vessels 91’ beam to under 107’ beam","Percentage","50.06%","Oceangoing Transits",2021-09-01
