"","Measure","Attribute","Value","Category","Date"
"66","Vessels 91´ beam to under 107’ beam","Daily Average","21.35","Oceangoing Transits",2017-01-01
"67","Neopanamax Vessels (beam107’ and over)","Daily Average","5.16","Oceangoing Transits",2017-01-01
"68","Total:","Daily Average","35.84","Oceangoing Transits",2017-01-01
"69","Vessels of less than 91´ beam","Percentage","26.01%","Oceangoing Transits",2017-01-01
"70","Vessels 91´ beam to under 107’ beam","Percentage","59.59%","Oceangoing Transits",2017-01-01
"71","Neopanamax Vessels (beam107’ and over)","Percentage","14.40%","Oceangoing Transits",2017-01-01
"72","Total:","Percentage","100%","Oceangoing Transits",2017-01-01
"73","Vessels of less than 91’ beam","Total","238","Oceangoing Transits",2018-02-01
"74","Vessels 91’ beam to under 107’ beam","Total","516","Oceangoing Transits",2018-02-01
"75","Neopanamax Vessels (107’ beam and over)","Total","187","Oceangoing Transits",2018-02-01
"76","Total:","Total","941","Oceangoing Transits",2018-02-01
"77","Vessels of less than 91’ beam","Daily Average","8.5","Oceangoing Transits",2018-02-01
"78","Vessels 91’ beam to under 107’ beam","Daily Average","18.43","Oceangoing Transits",2018-02-01
"79","Neopanamax Vessels (107’ beam and over)","Daily Average","6.68","Oceangoing Transits",2018-02-01
"80","Total:","Daily Average","33.61","Oceangoing Transits",2018-02-01
"81","Vessels of less than 91’ beam","Percentage","25.29","Oceangoing Transits",2018-02-01
"82","Vessels 91’ beam to under 107’ beam","Percentage","54.84","Oceangoing Transits",2018-02-01
"83","Neopanamax Vessels (107’ beam and over)","Percentage","19.87","Oceangoing Transits",2018-02-01
"84","Total:","Percentage","100","Oceangoing Transits",2018-02-01
"85","Vessels of less than 91’ beam","Total","211","Oceangoing Transits",2019-02-01
"86","Vessels 91’ beam to under 107’ beam","Total","551","Oceangoing Transits",2019-02-01
"87","Neopanamax Vessels (107’ beam and over)","Total","200","Oceangoing Transits",2019-02-01
"88","Total:","Total","962","Oceangoing Transits",2019-02-01
"89","Vessels of less than 91’ beam","Daily Average","7.54","Oceangoing Transits",2019-02-01
"90","Vessels 91’ beam to under 107’ beam","Daily Average","19.68","Oceangoing Transits",2019-02-01
"91","Neopanamax Vessels (107’ beam and over)","Daily Average","7.14","Oceangoing Transits",2019-02-01
"92","Total:","Daily Average","34.36","Oceangoing Transits",2019-02-01
"93","Vessels of less than 91’ beam","Percentage","21.93","Oceangoing Transits",2019-02-01
"94","Vessels 91’ beam to under 107’ beam","Percentage","57.28","Oceangoing Transits",2019-02-01
"95","Neopanamax Vessels (107’ beam and over)","Percentage","20.79","Oceangoing Transits",2019-02-01
"96","Total:","Percentage","100","Oceangoing Transits",2019-02-01
"97","Vessels of less than 91´ beam","Total","230","Oceangoing Transits",2017-02-01
"98","Vessels 91´ beam to under 107’ beam","Total","595","Oceangoing Transits",2017-02-01
"99","Neopanamax Vessels (beam107’ and over)","Total","158","Oceangoing Transits",2017-02-01
"100","Total:","Total","983","Oceangoing Transits",2017-02-01
"101","Vessels of less than 91´ beam","Daily Average","8.21","Oceangoing Transits",2017-02-01
"102","Vessels 91´ beam to under 107’ beam","Daily Average","21.25","Oceangoing Transits",2017-02-01
"103","Neopanamax Vessels (beam107’ and over)","Daily Average","5.64","Oceangoing Transits",2017-02-01
"104","Total:","Daily Average","35.11","Oceangoing Transits",2017-02-01
"105","Vessels of less than 91´ beam","Percentage","23.40%","Oceangoing Transits",2017-02-01
"106","Vessels 91´ beam to under 107’ beam","Percentage","60.53%","Oceangoing Transits",2017-02-01
"107","Neopanamax Vessels (beam107’ and over)","Percentage","16.07%","Oceangoing Transits",2017-02-01
"108","Total:","Percentage","100%","Oceangoing Transits",2017-02-01
"109","Vessels of less than 91’ beam","Total","272","Oceangoing Transits",2018-03-01
"110","Vessels 91’ beam to under 107’ beam","Total","605","Oceangoing Transits",2018-03-01
"111","Neopanamax Vessels (107’ beam and over)","Total","211","Oceangoing Transits",2018-03-01
"112","Total:","Total","1088","Oceangoing Transits",2018-03-01
"113","Vessels of less than 91’ beam","Daily Average","8.77","Oceangoing Transits",2018-03-01
"114","Vessels 91’ beam to under 107’ beam","Daily Average","19.52","Oceangoing Transits",2018-03-01
"115","Neopanamax Vessels (107’ beam and over)","Daily Average","6.81","Oceangoing Transits",2018-03-01
"116","Total:","Daily Average","35.10","Oceangoing Transits",2018-03-01
"117","Vessels of less than 91’ beam","Percentage","25.00","Oceangoing Transits",2018-03-01
"118","Vessels 91’ beam to under 107’ beam","Percentage","55.61","Oceangoing Transits",2018-03-01
"119","Neopanamax Vessels (107’ beam and over)","Percentage","19.39","Oceangoing Transits",2018-03-01
"120","Total:","Percentage","100","Oceangoing Transits",2018-03-01
"121","Vessels of less than 91’ beam","Total","259","Oceangoing Transits",2019-03-01
"122","Vessels 91’ beam to under 107’ beam","Total","582","Oceangoing Transits",2019-03-01
"123","Neopanamax Vessels (107’ beam and over)","Total","226","Oceangoing Transits",2019-03-01
"124","Total:","Total","1,067","Oceangoing Transits",2019-03-01
"125","Vessels of less than 91’ beam","Daily Average","8.35","Oceangoing Transits",2019-03-01
"126","Vessels 91’ beam to under 107’ beam","Daily Average","18.77","Oceangoing Transits",2019-03-01
"127","Neopanamax Vessels (107’ beam and over)","Daily Average","7.29","Oceangoing Transits",2019-03-01
"128","Total:","Daily Average","34.42","Oceangoing Transits",2019-03-01
"129","Vessels of less than 91’ beam","Percentage","24.27","Oceangoing Transits",2019-03-01
"130","Vessels 91’ beam to under 107’ beam","Percentage","54.55","Oceangoing Transits",2019-03-01
"131","Neopanamax Vessels (107’ beam and over)","Percentage","21.18","Oceangoing Transits",2019-03-01
"132","Total:","Percentage","100","Oceangoing Transits",2019-03-01
"133","Vessels of less than 91’ beam","Total","228","Oceangoing Transits",2018-04-01
"134","Vessels 91’ beam to under 107’ beam","Total","600","Oceangoing Transits",2018-04-01
"135","Neopanamax Vessels (107’ beam and over)","Total","186","Oceangoing Transits",2018-04-01
"136","Total:","Total","1014","Oceangoing Transits",2018-04-01
"137","Vessels of less than 91’ beam","Daily Average","7.60","Oceangoing Transits",2018-04-01
"138","Vessels 91’ beam to under 107’ beam","Daily Average","20.00","Oceangoing Transits",2018-04-01
"139","Neopanamax Vessels (107’ beam and over)","Daily Average","6.20","Oceangoing Transits",2018-04-01
"140","Total:","Daily Average","33.80","Oceangoing Transits",2018-04-01
"141","Vessels of less than 91’ beam","Percentage","22.49","Oceangoing Transits",2018-04-01
"142","Vessels 91’ beam to under 107’ beam","Percentage","59.17","Oceangoing Transits",2018-04-01
"143","Neopanamax Vessels (107’ beam and over)","Percentage","18.34","Oceangoing Transits",2018-04-01
"144","Total:","Percentage","100","Oceangoing Transits",2018-04-01
"145","Vessels of less than 91´ beam","Total","281","Oceangoing Transits",2017-03-01
"146","Vessels 91´ beam to under 107’ beam","Total","631","Oceangoing Transits",2017-03-01
"147","Neopanamax Vessels (beam107’ and over)","Total","159","Oceangoing Transits",2017-03-01
"148","Total:","Total","1071","Oceangoing Transits",2017-03-01
"149","Vessels of less than 91´ beam","Daily Average","9.06","Oceangoing Transits",2017-03-01
"150","Vessels 91´ beam to under 107’ beam","Daily Average","20.35","Oceangoing Transits",2017-03-01
"151","Neopanamax Vessels (beam107’ and over)","Daily Average","5.13","Oceangoing Transits",2017-03-01
"152","Total:","Daily Average","34.55","Oceangoing Transits",2017-03-01
"153","Vessels of less than 91´ beam","Percentage","26.24","Oceangoing Transits",2017-03-01
"154","Vessels 91´ beam to under 107’ beam","Percentage","58.92","Oceangoing Transits",2017-03-01
"155","Neopanamax Vessels (beam107’ and over)","Percentage","14.85","Oceangoing Transits",2017-03-01
"156","Total:","Percentage","100","Oceangoing Transits",2017-03-01
"157","Vessels of less than 91’ beam","Total","222","Oceangoing Transits",2019-04-01
"158","Vessels 91’ beam to under 107’ beam","Total","571","Oceangoing Transits",2019-04-01
"159","Neopanamax Vessels (107’ beam and over)","Total","213","Oceangoing Transits",2019-04-01
"160","Total:","Total","1,006","Oceangoing Transits",2019-04-01
"161","Vessels of less than 91’ beam","Daily Average","7.40","Oceangoing Transits",2019-04-01
"162","Vessels 91’ beam to under 107’ beam","Daily Average","19.03","Oceangoing Transits",2019-04-01
"163","Neopanamax Vessels (107’ beam and over)","Daily Average","7.10","Oceangoing Transits",2019-04-01
"164","Total:","Daily Average","33.53","Oceangoing Transits",2019-04-01
